"","Method.Name","Passed","Failed","Tarantula","SBI","Jaccard","Ochiai"
"1","<init>",232186,54284,0.189492791566307,0.189492791566307,0.115977023099193,0.0819882010690196
"2","values",46,34,0.425,0.425,0.00434683957967664,0.00307293244773568
"3","iterator",46,34,0.425,0.425,0.00434683957967664,0.00307293244773568
"4","hasNext",773,667,0.463194444444444,0.463194444444444,0.0200994547934065,0.0142090053438434
"5","next",16,163,0.910614525139665,0.910614525139665,0.0139315929929172,0.00984872879982538
"6","setTokenizerProperties",45,30,0.4,0.4,0.00396123230605244,0.00280033322214133
"7","addTokenizerPropertyListener",45,30,0.4,0.4,0.00396123230605244,0.00280033322214133
"8","setWhitespaceHandler",45,30,0.4,0.4,0.00396123230605244,0.00280033322214133
"9","setSeparatorHandler",45,30,0.4,0.4,0.00396123230605244,0.00280033322214133
"10","setSequenceHandler",279,30,0.0970873786407767,0.0970873786407767,0.00195155908438187,0.001379625156196
"11","getSpecialSequences",279,30,0.0970873786407767,0.0970873786407767,0.00195155908438187,0.001379625156196
"12","getStrings",113,0,0,0,0,0
"13","getBlockComments",85,0,0,0,0,0
"14","getLineComments",54,0,0,0,0,0
"15","setKeywordHandler",89,30,0.252100840336134,0.252100840336134,0.00314475968499567,0.00222314026069329
"16","getKeywords",89,30,0.252100840336134,0.252100840336134,0.00314475968499567,0.00222314026069329
"17","setPatternHandler",59,30,0.337078651685393,0.337078651685393,0.00363635220307588,0.00257066415067892
"18","getPatterns",59,30,0.337078651685393,0.337078651685393,0.00363635220307588,0.00257066415067892
"19","getParseFlags",328947,54160,0.1413704265388,0.1413704265388,0.100059493760696,0.070735544628523
"20","toBinaryString",90,60,0.4,0.4,0.00560202845092981,0.00396026922191622
"21","propertyChanged",45,30,0.4,0.4,0.00396123230605244,0.00280033322214133
"22","getProperty",400,30,0.0697674418604651,0.0697674418604651,0.00165434741134236,0.00116951586249236
"23","getImages",10601,4133,0.280507669336229,0.280507669336229,0.0389354108529238,0.0275247993818925
"24","getType",356529,63841,0.151868591954707,0.151868591954707,0.112596142773063,0.0795981388949629
"25","getTokenizerProperties",164493,27080,0.141356036602235,0.141356036602235,0.0707491455474329,0.0500150375962237
"26","isFlagSet",164404,27050,0.141287202147774,0.141287202147774,0.0706927272386485,0.0499751535267678
"27","setSource",232,0,0,0,0,0
"28","setType",141579,18102,0.113363518515039,0.113363518515039,0.0518011770366305,0.0366200580511424
"29","getReadPosition",69963,11209,0.13808948898635,0.13808948898635,0.0449886990870684,0.0318040798773515
"30","setStartPosition",69830,11209,0.138316119399302,0.138316119399302,0.045025601343911,0.0318301673692793
"31","setStartLine",69830,11209,0.138316119399302,0.138316119399302,0.045025601343911,0.0318301673692793
"32","setStartColumn",69830,11209,0.138316119399302,0.138316119399302,0.045025601343911,0.0318301673692793
"33","setImage",53290,18995,0.262779276475064,0.262779276475064,0.0807894951948956,0.05711291081026
"34","test4Whitespace",49254,7786,0.136500701262272,0.136500701262272,0.0372790065448297,0.0263538294273744
"35","readMoreData",25752,205,0.0078976769272258,0.0078976769272258,0.00145501108424257,0.00102859806317414
"36","getBaseTokenizer",26243,299,0.011265164644714,0.011265164644714,0.00209866952044708,0.00148362265233065
"37","read",486,94,0.162068965517241,0.162068965517241,0.00446327397061459,0.00315524397807566
"38","synchronizeAll",486,94,0.162068965517241,0.162068965517241,0.00446327397061459,0.00315524397807566
"39","test4Pattern",35886,5506,0.133020873598763,0.133020873598763,0.0309469384140035,0.0218774697035273
"40","test4SpecialSequence",33671,5506,0.140541644332134,0.140541644332134,0.0318097538188343,0.0224874239945269
"41","isSequenceCommentOrString",129179,24358,0.158645798732553,0.158645798732553,0.0710844798918297,0.0502520971354244
"42","getSequenceMaxLength",106836,24358,0.185663978535604,0.185663978535604,0.0768996438866386,0.054363039304098
"43","startsWithSequenceCommentOrString",106836,24358,0.185663978535604,0.185663978535604,0.0768996438866386,0.054363039304098
"44","test4Separator",28519,3470,0.108474788208447,0.108474788208447,0.0221854801357895,0.015683689385872
"45","isSeparator",369224,61376,0.142535996284255,0.142535996284255,0.106955040791954,0.0756102472322981
"46","test4Normal",18709,3470,0.156454303620542,0.156454303620542,0.0266439238419056,0.0188355186815706
"47","getLength",149799,33627,0.183327336364528,0.183327336364528,0.0897836724364421,0.0634712082766437
"48","adjustLineAndColumn",69830,11209,0.138316119399302,0.138316119399302,0.045025601343911,0.0318301673692793
"49","setEndLine",69830,11209,0.138316119399302,0.138316119399302,0.045025601343911,0.0318301673692793
"50","setEndColumn",69830,11209,0.138316119399302,0.138316119399302,0.045025601343911,0.0318301673692793
"51","removeTokenizerPropertyListener",29,30,0.508474576271186,0.508474576271186,0.00446616679326121,0.00315728901526035
"52","isWhitespace",419108,76807,0.154879364407207,0.154879364407207,0.124720220305556,0.0881690719983268
"53","isKeyword",20685,6846,0.248665141113654,0.248665141113654,0.0471808315419686,0.0333537747365527
"54","setLength",69591,11162,0.138223966911446,0.138223966911446,0.0449161346111944,0.0317527815194575
"55","setCompanion",14196,9126,0.391304347826087,0.391304347826087,0.0683340652786365,0.0483077331544935
"56","completeSpecialSequence",5945,3868,0.39417099765617,0.39417099765617,0.0446503898635268,0.0315649172923668
"57","getCompanion",14196,9126,0.391304347826087,0.391304347826087,0.0683340652786365,0.0483077331544935
"58","length",159906,14849,0.0849703871133873,0.0849703871133873,0.0406183325876601,0.0287145154298115
"59","completeLineComment",768,124,0.139013452914798,0.139013452914798,0.0047476527578805,0.0033562812574183
"60","isFreePattern",95508,18852,0.164847848898216,0.164847848898216,0.0637470434167065,0.0450650074776821
"61","isPattern",104241,18852,0.153152494455412,0.153152494455412,0.0614441360622506,0.0434370019799124
"62","isSpecialSequence",95508,18852,0.164847848898216,0.164847848898216,0.0637470434167065,0.0450650074776821
"63","completeWhitespace",24805,3871,0.134990933184545,0.134990933184545,0.0261398791094608,0.0184791918871148
"64","readWhitespaces",24805,3871,0.134990933184545,0.134990933184545,0.0261398791094608,0.0184791918871148
"65","countLeadingWhitespaces",24805,3871,0.134990933184545,0.134990933184545,0.0261398791094608,0.0184791918871148
"66","completeSeparator",18156,0,0,0,0,0
"67","completeBlockComment",2150,218,0.0920608108108108,0.0920608108108108,0.0051227756184898,0.00362146868592227
"68","getFlags",4256,235,0.0523268759741706,0.0523268759741706,0.0040099229150762,0.00283475431121687
"69","comparePrefix",149432,10746,0.0670878647504651,0.0670878647504651,0.0307033025500003,0.0217052350171064
"70","charAt",151643,11374,0.0697718642840931,0.0697718642840931,0.0322133925509711,0.0227727702867953
"71","completeString",2106,17,0.00800753650494583,0.00800753650494583,0.000421903971539256,0.000298258626803976
"72","compareTo",1784,17,0.00943920044419767,0.00943920044419767,0.000458069899200447,0.000323825581961959
"73","putPosition",2844,0,0,0,0,0
"74","put",2844,0,0,0,0,0
"75","newlineIsWhitespace",7891,0,0,0,0,0
"76","clear",6,0,0,0,0,0
"77","currentToken",4221,0,0,0,0,0
"78","getImage",4218,0,0,0,0,0
"79","setReadPositionAbsolute",133,0,0,0,0,0
"80","headMap",53,0,0,0,0,0
"81","isEmpty",53,0,0,0,0,0
"82","lastKey",53,0,0,0,0,0
"83","get",53,0,0,0,0,0
"84","intValue",106,0,0,0,0,0
"85","compareToIgnoreCase",322,0,0,0,0,0
"86","toUpperCase",74664,0,0,0,0,0
"87","nextToken",28,0,0,0,0,0
"88","currentImage",28,0,0,0,0,0
"89","getStartPosition",3888,0,0,0,0,0
"90","getText",3888,0,0,0,0,0
"91","reorganizeInputBuffer",3,0,0,0,0,0
"92","arraycopy",3,0,0,0,0,0
"93","matches",24556,0,0,0,0,0
"94","changeParseFlags",5,0,0,0,0,0
"95","switchTo",10,0,0,0,0,0
"96","currentlyAvailable",2,0,0,0,0,0
"97","remove",0,81,1,1,0.0102915834219991,0.00727547912830778
"98","notifyListeners",0,24,1,1,0.00560202845092981,0.00396026922191622
