file_name total_loc churned_loc deleted_loc churned/total deteled/total churned/deleted
TestTokenizerProperties.java 424 103 10 0.242925 0.023585 10.300000
JavaTestSuite.java 22 0 0 0.000000 0.000000 -nan
StandardTokenizerProperties.java 1077 243 463 0.225627 0.429898 0.524838
StandardTokenizer.java 1070 105 896 0.098131 0.837383 0.117188
TestMultithreadTokenizer.java 386 86 0 0.222798 0.000000 inf
PatternHandler.java 13 6 0 0.461538 0.000000 inf
TestPatternMatching.java 246 30 4 0.121951 0.016260 7.500000
TokenizerProperties.java 140 19 8 0.135714 0.057143 2.375000
LangTestSuite.java 19 0 0 0.000000 0.000000 -nan
SequenceStore.java 323 58 44 0.179567 0.136223 1.318182
ExtNoSuchMethodException.java 48 0 0 0.000000 0.000000 -nan
SeparatorHandler.java 4 0 0 0.000000 0.000000 -nan
TokenizerException.java 51 0 0 0.000000 0.000000 -nan
ExtIllegalArgumentException.java 48 0 0 0.000000 0.000000 -nan
TestTokenizerCleanup.java 90 1 0 0.011111 0.000000 inf
ExtRuntimeException.java 50 0 0 0.000000 0.000000 -nan
TokenizerSource.java 4 0 0 0.000000 0.000000 -nan
ReaderSource.java 58 35 0 0.603448 0.000000 inf
TokenizerPropertyEvent.java 83 0 0 0.000000 0.000000 -nan
Tokenizer.java 40 0 0 0.000000 0.000000 -nan
SequenceHandler.java 9 0 0 0.000000 0.000000 -nan
ThrowableMessageFormatter.java 51 16 0 0.313725 0.000000 inf
ExtNoSuchElementException.java 52 0 0 0.000000 0.000000 -nan
EnvironmentProvider.java 92 0 0 0.000000 0.000000 -nan
TokenizerPropertyListener.java 4 0 0 0.000000 0.000000 -nan
SuseboxTestSuite.java 22 0 0 0.000000 0.000000 -nan
TestLargeSource.java 676 165 29 0.244083 0.042899 5.689655
DataMapper.java 9 0 0 0.000000 0.000000 -nan
StandardWhitespaceHandler.java 81 19 8 0.234568 0.098765 2.375000
Token.java 193 15 0 0.077720 0.000000 inf
StandardSequenceHandler.java 69 0 0 0.000000 0.000000 -nan
TestTextAccess.java 113 2 0 0.017699 0.000000 inf
TestThrowableList.java 71 7 0 0.098592 0.000000 inf
StandardKeywordHandler.java 24 1 1 0.041667 0.041667 1.000000
JTopasTestSuite.java 30 2 0 0.066667 0.000000 inf
DataProvider.java 9 1 0 0.111111 0.000000 inf
TokenizerProperty.java 170 35 12 0.205882 0.070588 2.916667
TestExceptions.java 79 1 0 0.012658 0.000000 inf
ExtNullPointerException.java 47 0 0 0.000000 0.000000 -nan
StandardSeparatorHandler.java 24 4 2 0.166667 0.083333 2.000000
ExtUnsupportedOperationException.java 50 0 0 0.000000 0.000000 -nan
KeywordHandler.java 8 0 0 0.000000 0.000000 -nan
Environment.java 11 0 0 0.000000 0.000000 -nan
PatternMatcher.java 114 46 6 0.403509 0.052632 7.666667
TestEmbeddedTokenizer.java 248 7 2 0.028226 0.008065 3.500000
UtilTestSuite.java 24 0 6 0.000000 0.250000 0.000000
DefaultEnvironment.java 24 0 0 0.000000 0.000000 -nan
ExtIndexOutOfBoundsException.java 50 0 0 0.000000 0.000000 -nan
TestStandardTokenizer.java 275 18 4 0.065455 0.014545 4.500000
ExtIOException.java 49 0 0 0.000000 0.000000 -nan
WhitespaceHandler.java 8 0 0 0.000000 0.000000 -nan
ThrowableList.java 8 0 0 0.000000 0.000000 -nan
TestUtilities.java 16 0 0 0.000000 0.000000 -nan
TestMultithreadTokenizerProperties.java 259 23 11 0.088803 0.042471 2.090909
TestDifficultSituations.java 1013 280 3 0.276407 0.002962 93.333333
