Method Name, Passed, Failed, Tarantula, SBI, Jaccard, Ochiai
<init>,232186,54284,0.5823792028185797,0.0,0.030800586007759725,0.08198820106901965
values,46,34,0.8151121563592351,0.0,2.2217952890098242E-5,0.003072932447735677
iterator,46,34,0.8151121563592351,0.0,2.2217952890098242E-5,0.003072932447735677
hasNext,773,667,0.8373127754661619,0.0,4.356569896820488E-4,0.01420900534384336
next,16,163,0.9838096759829738,0.0,1.0651756821045258E-4,0.009848728799825384
setTokenizerProperties,45,30,0.7990539645698946,0.0,1.9604088890166784E-5,0.002800333222141334
addTokenizerPropertyListener,45,30,0.7990539645698946,0.0,1.9604088890166784E-5,0.002800333222141334
setWhitespaceHandler,45,30,0.7990539645698946,0.0,1.9604088890166784E-5,0.002800333222141334
setSeparatorHandler,45,30,0.7990539645698946,0.0,1.9604088890166784E-5,0.002800333222141334
setSequenceHandler,279,30,0.3907508387516284,0.0,1.9601091650130967E-5,0.001379625156196005
getSpecialSequences,279,30,0.3907508387516284,0.0,1.9601091650130967E-5,0.001379625156196005
getStrings,113,0,0.0,0.0,0.0,0.0
getBlockComments,85,0,0.0,0.0,0.0,0.0
getLineComments,54,0,0.0,0.0,0.0,0.0
setKeywordHandler,89,30,0.667836976175491,0.0,1.9603525236598215E-5,0.002223140260693288
getKeywords,89,30,0.667836976175491,0.0,1.9603525236598215E-5,0.002223140260693288
setPatternHandler,59,30,0.7520390800636269,0.0,1.9603909542333663E-5,0.0025706641506789223
getPatterns,59,30,0.7520390800636269,0.0,1.9603909542333663E-5,0.0025706641506789223
getParseFlags,328947,54160,0.49547591976886357,0.0,0.02913088729261858,0.07073554462852304
toBinaryString,90,60,0.7990539645698946,0.0,3.9207024853333054E-5,0.003960269221916224
propertyChanged,45,30,0.7990539645698946,0.0,1.9604088890166784E-5,0.002800333222141334
getProperty,400,30,0.30908297571003024,0.0,1.9599542154695266E-5,0.001169515862492358
getImages,10601,4133,0.6992885721710769,0.0,0.002682287492155299,0.027524799381892458
getType,356529,63841,0.5164533658737661,0.0,0.033836007116898284,0.07959813889496292
getTokenizerProperties,164493,27080,0.49544628393498297,0.0,0.015978842784826707,0.05001503759622375
isFlagSet,164404,27050,0.4953044861001813,0.0,0.015961979214611614,0.049975153526767756
setSource,232,0,0.0,0.0,0.0,0.0
setType,141579,18102,0.43266695539987093,0.0,0.010827675351576449,0.036620058051142386
getReadPosition,69963,11209,0.48865387220314654,0.0,0.007004701255021994,0.03180407987735149
setStartPosition,69830,11209,0.4891293408717485,0.0,0.007005283492429744,0.03183016736927933
setStartLine,69830,11209,0.4891293408717485,0.0,0.007005283492429744,0.03183016736927933
setStartColumn,69830,11209,0.4891293408717485,0.0,0.007005283492429744,0.03183016736927933
setImage,53290,18995,0.6801115071264502,0.0,0.011995291555996762,0.057112910810260036
test4Whitespace,49254,7786,0.4853027019150707,0.0,0.00492940179879481,0.026353829427374378
readMoreData,25752,205,0.04532983868767902,0.0,1.3174807197943446E-4,0.0010285980631741375
getBaseTokenizer,26243,299,0.06363428092797398,0.0,1.920987657493683E-4,0.0014836226523306524
read,486,94,0.5356751150918034,0.0,6.14084484959503E-5,0.003155243978075656
synchronizeAll,486,94,0.5356751150918034,0.0,6.14084484959503E-5,0.003155243978075656
test4Pattern,35886,5506,0.4778515935692239,0.0,0.0035156634106660095,0.021877469703527275
test4SpecialSequence,33671,5506,0.4937649917455203,0.0,0.0035206426931318055,0.02248742399452692
isSequenceCommentOrString,129179,24358,0.5293458587162736,0.0,0.014678560732108131,0.050252097135424376
getSequenceMaxLength,106836,24358,0.5762560201087202,0.0,0.014878894424476692,0.05436303930409802
startsWithSequenceCommentOrString,106836,24358,0.5762560201087202,0.0,0.014878894424476692,0.05436303930409802
test4Separator,28519,3470,0.4205395852324946,0.0,0.0022261184641450583,0.015683689385872016
isSeparator,369224,61376,0.49786815629208825,0.0,0.03231213726761963,0.07561024723229812
test4Normal,18709,3470,0.5252303284038576,0.0,0.0022402171267504522,0.018835518681570622
getLength,149799,33627,0.5724592920959779,0.0,0.020015511470810043,0.06347120827664368
adjustLineAndColumn,69830,11209,0.4891293408717485,0.0,0.007005283492429744,0.03183016736927933
setEndLine,69830,11209,0.4891293408717485,0.0,0.007005283492429744,0.03183016736927933
setEndColumn,69830,11209,0.4891293408717485,0.0,0.007005283492429744,0.03183016736927933
removeTokenizerPropertyListener,29,30,0.8605371766548773,0.0,1.9604293863137197E-5,0.0031572890152603457
isWhitespace,419108,76807,0.5222413974154587,0.0,0.039401217632900304,0.08816907199832681
isKeyword,20685,6846,0.6637639040566626,0.0,0.004414117179787908,0.033353774736552745
setLength,69591,11162,0.48893608228832863,0.0,0.006976952055800615,0.031752781519457485
